Stream,Species,Mass (g),Temp (K),Enthalpy (J/g),Enthalpy (J),Phase
1,Hg,97.859092356,300,0,0.0,s
1,powder,12753.449999999999,300,0,0.0,s
1,glass,799216.2,300,0,0.0,s
1,Al,38260.350000000006,300,0,0.0,s
2,Hg,97.859092356,300,0,0.0,s
2,powder,12753.449999999999,300,0,0.0,s
2,glass,799216.2,300,0,0.0,s
2,Al,38260.350000000006,300,0,0.0,s
3,Hg,2.081958201,300,0,0.0,s
3,glass,799216.2,300,0,0.0,s
3,Al,38260.350000000006,300,0,0.0,s
4,Hg,95.650875,300,0,0.0,s
4,powder,12753.449999999999,300,0,0.0,s
5,Hg,79.39022624999998,873.15,359.46596016339106,28538.083906545096,g
5,N2,30.1003016915065,873.15,613.7823945170272,18475.035247897784,g
6,Hg,1.72802530683,673.15,338.7410985212578,585.3531907081277,g
6,N2,30.1003016915065,673.15,399.6037695437995,12028.1940203316,g
7,Hg,81.11825155682999,784.1932607024818,350.2478797082237,28411.495613418017,g
7,N2,60.200603383013,784.1932607024818,518.5192339928055,31215.170752064594,g
8,Hg,0.122365071200136,283.15,-2.271892644386563,-0.27800030518942703,g
8,N2,60.200603383013,283.15,-18.044549153994456,-1086.292746844903,g
9,Hg,0.006118253560006805,283.15,-2.271892644386563,-0.013900015259471364,g
9,N2,60.200603383013,283.15,-18.044549153994456,-1086.292746844903,g
10,Hg,0.006118253560006805,283.15,-2.271892644386563,-0.013900015259471364,g
10,N2,60.200603383013,283.15,-18.044549153994456,-1086.292746844903,g
11,water,8825.082250464338,282.15,-74.70023158727243,-659235.6878864134,l
12,water,8825.082250464338,281.15,-78.89615370904849,-696265.04572763,l
13,Hg,80.99588648562984,283.15,292.4081073556134,23683.853870853127,l
14,N2,0.006118253560006805,300,0,0.0,g
15,Hg,80.99588648562984,283.15,292.4081073556134,23683.853870853127,l
16,N2,30.1003016915065,300,0,0.0,s
17,N2,30.1003016915065,300,0,0.0,s
18,Hg,0.35393289417000007,673.15,44.061098521257826,15.594672119938295,l
18,glass,799216.2,673.15,395.28800724498507,3.159205790559094e8,s
18,Al,38260.350000000006,673.15,369.2589534798925,1.4127976800774407e7,s
19,Hg,16.26064875,873.15,64.78596016339105,1053.4617421483947,l
19,powder,12753.449999999999,873.15,299.2844085976325,3.8169087408294757e6,s
CCollect,Hg,0.11624681764012919,283.15,-2.271892644386563,-0.26410028992995566,s
