ID,Species,Phase,Temperature (K),Mass flow rate (mg/s),Pressure (kPa)
1,"Y₂O₃ (powder), Hg",solid,300.0,21370.0,101.325
2,"N₂, Hg",gas,873.15,"[3.967, 76.39]",10.0
3,N₂,gas,283.15,3.967,10.0
4,N₂,gas,283.15,3.967,10.0
5,N₂,gas,283.15,3.967,101.325
6,H₂O,liquid,283.15,1436.0,101.325
7,H₂O,liquid,278.15,1436.0,101.325
8,N₂,gas,283.15,25.43,101.325
9,N₂,gas,283.15,3.967,101.325
10,N₂,gas,283.15,3.967,101.325
11,N₂,gas,283.15,3.967,10.0
12,N₂,gas,300.0,25.43,101.325
13,Hg,liquid,283.15,76.39,10.0
14,Y₂O₃ (powder),solid,873.15,21290.0,101.325
